userID,session,ETDDC,chunk,dur
14,1,0,1,548.296565
14,1,0,2,651.097259
14,1,0,3,574.670058
14,1,0,4,631.485255
14,1,0,5,560.991302
14,1,0,6,627.177182
14,1,0,7,570.716075
14,1,0,8,592.472543
14,2,1,1,614.943555
14,2,1,2,638.565735
14,2,1,3,496.205355
14,2,1,4,638.364649
14,2,1,5,591.082813
14,2,1,6,553.429226
14,2,1,7,617.108291
14,2,1,8,687.545772
15,1,1,1,662.151129
15,1,1,2,639.709954
15,1,1,3,603.38157
15,1,1,4,574.799104
15,1,1,5,699.529643
15,1,1,6,510.284131
15,1,1,7,516.725387
15,1,1,8,574.840755
15,2,0,1,633.297154
15,2,0,2,544.528873
15,2,0,3,695.596449
15,2,0,4,621.664944
15,2,0,5,484.02643
15,2,0,6,601.289092
15,2,0,7,588.42803
15,2,0,8,643.306364
16,1,0,1,646.437475
16,1,0,2,735.474024
16,1,0,3,485.204757
16,1,0,4,634.343333
16,1,0,5,597.819346
16,1,0,6,576.261539
16,1,0,7,660.785953
16,1,0,8,638.479944
16,2,1,1,567.447625
16,2,1,2,565.385622
16,2,1,3,559.856723
16,2,1,4,636.91746
16,2,1,5,603.026434
16,2,1,6,611.405488
16,2,1,7,562.906583
16,2,1,8,652.816953
1,1,1,1,638.317012
1,1,1,2,590.944098
1,1,1,3,547.816029
1,1,1,4,718.724849
1,1,1,5,494.034237
1,1,1,6,625.677256
1,1,1,7,612.598352
1,1,1,8,735.931722
1,2,0,1,519.717135
1,2,0,2,590.059033
1,2,0,3,539.536237
1,2,0,4,714.477823
1,2,0,5,485.979354
1,2,0,6,633.355026
1,2,0,7,560.836111
1,2,0,8,677.016106
20,1,0,1,582.462751
20,1,0,2,599.575512
20,1,0,3,548.348061
20,1,0,4,614.217002
20,1,0,5,553.96063
20,1,0,6,608.650761
20,1,0,7,613.362048
20,1,0,8,584.25439
20,2,1,1,572.825588
20,2,1,2,701.617363
20,2,1,3,477.483192
20,2,1,4,621.973853
20,2,1,5,615.003211
20,2,1,6,564.129544
20,2,1,7,608.940792
20,2,1,8,596.916356
21,1,1,1,688.277748
21,1,1,2,441.013708
21,1,1,3,678.985387
21,1,1,4,729.122563
21,1,1,5,660.403872
21,1,1,6,647.754182
21,1,1,7,564.435247
21,1,1,8,630.607447
21,2,0,1,516.873029
21,2,0,2,691.113134
21,2,0,3,547.28078
21,2,0,4,564.142633
21,2,0,5,596.63762
21,2,0,6,633.886301
21,2,0,7,497.811819
21,2,0,8,620.44914
22,1,0,1,713.439382
22,1,0,2,538.073318
22,1,0,3,572.014468
22,1,0,4,590.630621
22,1,0,5,561.802281
22,1,0,6,517.607382
22,1,0,7,583.451886
22,1,0,8,699.0098
22,2,1,1,643.99022
22,2,1,2,490.951699
22,2,1,3,528.622992
22,2,1,4,593.250118
22,2,1,5,526.302148
22,2,1,6,572.87571
22,2,1,7,555.905398
22,2,1,8,765.103628
26,1,0,1,562.446211
26,1,0,2,564.546541
26,1,0,3,556.837884
26,1,0,4,628.435835
26,1,0,5,506.127427
26,1,0,6,601.820258
26,1,0,7,591.741304
26,1,0,8,551.159498
26,2,1,1,773.672291
26,2,1,2,654.051544
26,2,1,3,625.598213
26,2,1,4,736.394653
26,2,1,5,618.969506
26,2,1,6,641.610222
26,2,1,7,602.361817
26,2,1,8,569.75043
27,1,1,1,578.200291
27,1,1,2,591.018392
27,1,1,3,498.436227
27,1,1,4,523.806032
27,1,1,5,518.268989
27,1,1,6,542.543152
27,1,1,7,534.54787
27,1,1,8,653.310211
27,2,0,1,701.787079
27,2,0,2,729.740683
27,2,0,3,407.314811
27,2,0,4,728.873945
27,2,0,5,583.178903
27,2,0,6,729.910964
27,2,0,7,724.673708
27,2,0,8,665.198122
28,1,0,1,559.559371
28,1,0,2,682.221441
28,1,0,3,486.111878
28,1,0,4,638.497936
28,1,0,5,454.281271
28,1,0,6,550.351086
28,1,0,7,627.975244
28,1,0,8,619.642018
28,2,1,1,586.570521
28,2,1,2,621.975351
28,2,1,3,535.456101
28,2,1,4,699.521134
28,2,1,5,588.429083
28,2,1,6,627.10718
28,2,1,7,665.701639
28,2,1,8,611.90768
2,1,0,1,573.661432
2,1,0,2,621.065176
2,1,0,3,563.729119
2,1,0,4,649.445397
2,1,0,5,606.341026
2,1,0,6,647.097989
2,1,0,7,632.839761
2,1,0,8,595.302391
2,2,1,1,516.403742
2,2,1,2,686.755712
2,2,1,3,534.249827
2,2,1,4,536.230523
2,2,1,5,616.606469
2,2,1,6,701.387824
2,2,1,7,456.155641
2,2,1,8,734.052314
30,1,0,1,599.124349
30,1,0,2,580.608453
30,1,0,3,620.940716
30,1,0,4,656.343789
30,1,0,5,489.716368
30,1,0,6,640.961045
30,1,0,7,540.439573
30,1,0,8,626.307357
30,2,1,1,599.837227
30,2,1,2,657.73123
30,2,1,3,681.863083
30,2,1,4,633.711464
30,2,1,5,759.44289
30,2,1,6,653.071812
30,2,1,7,621.96163
30,2,1,8,591.862369
32,1,0,1,896.009935
32,1,0,2,342.837763
32,1,0,3,579.471019
32,1,0,4,554.051181
32,1,0,5,629.986197
32,1,0,6,633.06347
32,1,0,7,525.614388
32,1,0,8,555.406817
32,2,1,1,613.861012
32,2,1,2,640.910532
32,2,1,3,694.375271
32,2,1,4,622.698809
32,2,1,5,646.605476
32,2,1,6,611.665757
32,2,1,7,662.472388
32,2,1,8,557.917746
33,1,1,1,648.206187
33,1,1,2,563.63831
33,1,1,3,486.020473
33,1,1,4,585.429178
33,1,1,5,642.906689
33,1,1,6,449.771296
33,1,1,7,682.784115
33,1,1,8,585.562577
33,2,0,1,582.995119
33,2,0,2,673.109128
33,2,0,3,636.117342
33,2,0,4,686.620823
33,2,0,5,618.186245
33,2,0,6,688.843279
33,2,0,7,658.663919
33,2,0,8,713.688102
35,1,1,1,640.593468
35,1,1,2,702.120732
35,1,1,3,656.911246
35,1,1,4,679.734237
35,1,1,5,641.739331
35,1,1,6,656.763798
35,1,1,7,638.685227
35,1,1,8,596.546122
35,2,0,1,638.827087
35,2,0,2,628.832159
35,2,0,3,608.84322
35,2,0,4,620.499523
35,2,0,5,642.515533
35,2,0,6,579.872034
35,2,0,7,613.554059
35,2,0,8,698.120521
36,1,0,1,645.847521
36,1,0,2,742.534973
36,1,0,3,770.084619
36,1,0,4,732.098611
36,1,0,5,614.627715
36,1,0,6,720.449128
36,1,0,7,621.472797
36,1,0,8,609.502413
36,2,1,1,640.498404
36,2,1,2,654.110838
36,2,1,3,659.064822
36,2,1,4,642.876671
36,2,1,5,693.239103
36,2,1,6,668.989839
36,2,1,7,688.139283
36,2,1,8,579.384617
38,1,0,1,755.259055
38,1,0,2,722.894931
38,1,0,3,656.726482
38,1,0,4,684.120701
38,1,0,5,651.18094
38,1,0,6,680.008852
38,1,0,7,641.599254
38,1,0,8,608.786105
38,2,1,1,778.697199
38,2,1,2,662.934761
38,2,1,3,619.895395
38,2,1,4,634.965758
38,2,1,5,632.194755
38,2,1,6,610.000096
38,2,1,7,636.152537
38,2,1,8,594.283441
40,1,0,1,612.248056
40,1,0,2,649.409589
40,1,0,3,657.250533
40,1,0,4,606.069806
40,1,0,5,633.426791
40,1,0,6,592.507575
40,1,0,7,643.176799
40,1,0,8,602.570032
40,2,1,1,676.865236
40,2,1,2,681.089706
40,2,1,3,621.220711
40,2,1,4,639.266298
40,2,1,5,632.695634
40,2,1,6,632.97108
40,2,1,7,672.765874
40,2,1,8,673.918671
43,1,1,1,613.570666
43,1,1,2,641.698993
43,1,1,3,637.794955
43,1,1,4,643.190715
43,1,1,5,605.09619
43,1,1,6,668.031495
43,1,1,7,601.772944
43,1,1,8,593.059248
43,2,0,1,669.40439
43,2,0,2,638.088747
43,2,0,3,591.806538
43,2,0,4,623.518181
43,2,0,5,613.874104
43,2,0,6,644.308696
43,2,0,7,635.330394
43,2,0,8,633.044009
44,1,0,1,591.403033
44,1,0,2,326.244375
44,1,0,3,630.350765
44,1,0,4,640.797581
44,1,0,5,592.716375
44,1,0,6,671.950995
44,1,0,7,636.006549
44,1,0,8,584.13668
44,2,1,1,636.247098
44,2,1,2,674.904734
44,2,1,3,616.161022
44,2,1,4,624.452607
44,2,1,5,604.628434
44,2,1,6,601.8283
44,2,1,7,594.795354
44,2,1,8,617.174019
45,1,1,1,634.851028
45,1,1,2,658.643873
45,1,1,3,796.397678
45,1,1,4,583.094385
45,1,1,5,667.217395
45,1,1,6,660.567653
45,1,1,7,599.76058
45,1,1,8,553.328623
45,2,0,1,621.506065
45,2,0,2,610.763929
45,2,0,3,612.290881
45,2,0,4,637.451491
45,2,0,5,637.739018
45,2,0,6,634.709826
45,2,0,7,477.755235
45,2,0,8,586.80691
48,1,0,1,655.29649
48,1,0,2,696.833165
48,1,0,3,702.374873
48,1,0,4,611.664297
48,1,0,5,649.271785
48,1,0,6,648.221638
48,1,0,7,641.705157
48,1,0,8,597.093926
48,2,1,1,680.058481
48,2,1,2,657.430395
48,2,1,3,637.027023
48,2,1,4,621.406892
48,2,1,5,700.03906
48,2,1,6,624.727496
48,2,1,7,628.050147
48,2,1,8,587.799839
49,1,1,1,681.075319
49,1,1,2,659.029731
49,1,1,3,678.066862
49,1,1,4,714.578483
49,1,1,5,619.372523
49,1,1,6,623.641743
49,1,1,7,702.120508
49,1,1,8,623.818306
49,2,0,1,720.720718
49,2,0,2,621.58535
49,2,0,3,630.927389
49,2,0,4,708.420301
49,2,0,5,584.028129
49,2,0,6,640.95156
49,2,0,7,626.827381
49,2,0,8,635.810524
50,1,0,1,644.005118
50,1,0,2,623.072542
50,1,0,3,649.717708
50,1,0,4,647.034301
50,1,0,5,600.993862
50,1,0,6,680.687796
50,1,0,7,658.01014
50,1,0,8,604.764438
50,2,1,1,668.017625
50,2,1,2,637.143736
50,2,1,3,641.481369
50,2,1,4,608.774433
50,2,1,5,686.025601
50,2,1,6,595.62067
50,2,1,7,594.199936
50,2,1,8,595.849872
51,1,1,1,613.360012
51,1,1,2,651.363519
51,1,1,3,582.428014
51,1,1,4,652.788563
51,1,1,5,636.174904
51,1,1,6,619.563937
51,1,1,7,871.066546
51,1,1,8,648.212605
51,2,0,1,637.062367
51,2,0,2,654.183695
51,2,0,3,622.918193
51,2,0,4,606.481759
51,2,0,5,652.184359
51,2,0,6,644.118047
51,2,0,7,701.261855
51,2,0,8,625.531407
52,1,0,1,604.537848
52,1,0,2,662.995017
52,1,0,3,561.13542
52,1,0,4,670.528465
52,1,0,5,869.156374
52,1,0,6,453.359082
52,1,0,7,625.271203
52,1,0,8,637.624955
52,2,1,1,636.417821
52,2,1,2,673.862773
52,2,1,3,607.702918
52,2,1,4,659.397102
52,2,1,5,634.563417
52,2,1,6,642.618587
52,2,1,7,588.74963
52,2,1,8,586.541568
54,1,0,1,551.451931
54,1,0,2,619.515602
54,1,0,3,700.33716
54,1,0,4,583.095754
54,1,0,5,600.5289
54,1,0,6,643.518942
54,1,0,7,583.9502
54,1,0,8,622.413802
54,2,1,1,662.463141
54,2,1,2,607.848918
54,2,1,3,601.203575
54,2,1,4,618.711171
54,2,1,5,637.527154
54,2,1,6,720.607539
54,2,1,7,678.904794
54,2,1,8,609.207088
56,1,0,1,619.426746
56,1,0,2,666.700391
56,1,0,3,632.139483
56,1,0,4,639.005857
56,1,0,5,610.148789
56,1,0,6,661.505311
56,1,0,7,660.188724
56,1,0,8,610.227411
56,2,1,1,631.94693
56,2,1,2,641.378608
56,2,1,3,626.779579
56,2,1,4,619.309107
56,2,1,5,610.444202
56,2,1,6,661.95368
56,2,1,7,701.659521
56,2,1,8,692.14853
57,1,1,1,635.947645
57,1,1,2,635.997893
57,1,1,3,619.894526
57,1,1,4,588.553321
57,1,1,5,592.549689
57,1,1,6,621.686116
57,1,1,7,633.048141
57,1,1,8,603.790451
57,2,0,1,693.069612
57,2,0,2,625.310202
57,2,0,3,586.970114
57,2,0,4,634.839343
57,2,0,5,637.705942
57,2,0,6,657.83016
57,2,0,7,652.126389
57,2,0,8,591.582673
58,1,0,1,685.61644
58,1,0,2,663.263512
58,1,0,3,623.31904
58,1,0,4,656.718399
58,1,0,5,596.082904
58,1,0,6,598.720297
58,1,0,7,675.363434
58,1,0,8,608.357057
58,2,1,1,632.316527
58,2,1,2,604.363028
58,2,1,3,620.471961
58,2,1,4,629.72177
58,2,1,5,595.693339
58,2,1,6,636.834016
58,2,1,7,611.561182
58,2,1,8,598.666713
59,1,1,1,588.323978
59,1,1,2,654.66371
59,1,1,3,602.257383
59,1,1,4,639.706109
59,1,1,5,613.360839
59,1,1,6,663.084371
59,1,1,7,658.971768
59,1,1,8,585.486907
59,2,0,1,595.462441
59,2,0,2,636.528722
59,2,0,3,597.329543
59,2,0,4,617.296316
59,2,0,5,636.295067
59,2,0,6,569.597748
59,2,0,7,391.998167
59,2,0,8,585.805474
60,1,0,1,591.300125
60,1,0,2,642.7974
60,1,0,3,601.203236
60,1,0,4,624.065079
60,1,0,5,645.430861
60,1,0,6,631.93087
60,1,0,7,627.802312
60,1,0,8,601.074135
60,2,1,1,580.35918
60,2,1,2,655.986667
60,2,1,3,570.535042
60,2,1,4,601.130029
60,2,1,5,569.005609
60,2,1,6,454.687855
60,2,1,7,563.572297
60,2,1,8,697.644024
61,1,1,1,668.861675
61,1,1,2,646.967809
61,1,1,3,626.602112
61,1,1,4,761.997208
61,1,1,5,599.857388
61,1,1,6,776.029704
61,1,1,7,656.384263
61,1,1,8,593.003285
61,2,0,1,631.336676
61,2,0,2,697.831124
61,2,0,3,603.329964
61,2,0,4,648.007938
61,2,0,5,612.658937
61,2,0,6,628.008133
61,2,0,7,648.583068
61,2,0,8,488.62854
8,1,0,1,597.284379
8,1,0,2,575.097948
8,1,0,3,614.872259
8,1,0,4,508.241621
8,1,0,5,615.259962
8,1,0,6,620.284514
8,1,0,7,534.43709
8,1,0,8,730.043628
8,2,1,1,631.119285
8,2,1,2,542.294427
8,2,1,3,670.295924
8,2,1,4,495.642132
8,2,1,5,669.350661
8,2,1,6,500.883869
8,2,1,7,589.772194
8,2,1,8,671.457881
